timestamp,home_goals,away_goals,odd_1,odd_x,odd_2,odd_u,odd_o
2026-08-27 19:04,1,2,2.7,3.2,2.3,1.52,2.11
2026-08-27 19:04,1,1,2.01,3.05,3.35,1.38,2.45
2026-08-27 19:04,0,0,2.94,3.15,2.17,1.46,2.25
2026-08-27 19:04,0,0,1.89,3.2,3.6,1.44,2.29
2026-08-27 19:04,1,2,1.95,3.15,3.45,1.41,2.37
2026-08-27 19:04,0,1,2.11,3.15,3.05,1.45,2.27
2026-08-27 19:04,1,1,2.85,3.1,2.25,1.43,2.33
2026-08-27 19:04,4,0,2.1,3.05,3.15,1.4,2.41
2026-08-27 19:04,2,2,2.73,3.1,2.31,1.46,2.25
2026-08-27 19:04,0,0,1.84,3.25,3.7,1.48,2.21
2026-08-27 19:04,0,0,2.52,2.91,2.64,1.32,2.7
2026-08-27 19:04,1,0,2.65,3.05,2.4,1.43,2.33
2026-08-27 19:04,1,0,2.94,3.15,2.17,1.46,2.25
2026-08-27 19:04,0,0,2.11,3.2,3.0,1.51,2.14
2026-08-27 19:04,0,1,2.04,3.25,3.1,1.54,2.08
2026-08-27 19:04,1,1,2.23,3.2,2.79,1.51,2.13
2026-08-27 19:04,1,0,2.19,2.94,3.1,1.32,2.7
2026-08-27 19:04,2,1,2.26,3.05,2.87,1.39,2.43
2026-08-27 19:04,1,0,2.18,3.0,3.05,1.37,2.51
2026-08-27 19:04,0,2,2.32,3.05,2.75,1.42,2.34
2026-08-27 19:04,1,1,2.31,3.05,2.76,1.43,2.33
2026-08-27 19:04,2,0,1.94,3.2,3.4,1.48,2.21
2026-08-27 19:04,1,2,2.16,3.15,2.93,1.49,2.19
2026-08-27 19:04,1,1,1.94,3.15,3.5,1.42,2.35
2026-08-27 19:04,1,0,2.9,3.2,2.16,1.52,2.11
2026-08-27 19:04,1,1,2.45,3.2,2.5,1.55,2.07
2026-08-27 19:04,0,0,2.58,3.05,2.49,1.4,2.42
2026-08-27 19:04,4,0,2.04,3.25,3.1,1.55,2.07
2026-08-27 19:04,3,1,2.39,3.05,2.68,1.4,2.41
2026-08-27 19:04,0,2,2.0,3.25,3.25,1.51,2.15
2026-08-27 19:04,0,0,1.98,3.2,3.35,1.46,2.26
2026-08-27 19:04,0,0,2.57,3.05,2.5,1.4,2.41
2026-08-27 19:04,1,0,2.57,3.05,2.5,1.4,2.41
2026-08-27 19:04,0,0,2.49,3.05,2.56,1.42,2.34
2026-08-27 19:04,2,0,2.0,3.15,3.3,1.45,2.28
2026-08-27 19:04,0,2,2.81,3.15,2.23,1.49,2.18
2026-08-27 19:04,2,0,2.09,3.15,3.1,1.46,2.25
2026-08-27 19:04,0,0,1.98,3.25,3.25,1.51,2.13
2026-08-27 19:04,3,1,2.24,3.1,2.84,1.45,2.27
2026-08-27 19:04,1,0,2.62,3.15,2.37,1.49,2.18
2026-08-27 19:04,1,2,2.16,3.1,2.99,1.43,2.33
2026-08-27 19:04,1,2,1.99,3.1,3.4,1.4,2.42
2026-08-27 19:04,2,2,2.15,3.25,2.88,1.55,2.06
2026-08-27 19:04,0,4,2.5,2.99,2.59,1.37,2.51
2026-08-27 19:04,2,1,2.35,3.2,2.62,1.52,2.11
2026-08-27 19:04,1,1,2.47,3.05,2.57,1.43,2.33
2026-08-27 19:04,0,1,2.26,3.05,2.88,1.39,2.43
2026-08-27 19:04,1,0,2.59,3.2,2.36,1.56,2.05
2026-08-27 19:04,0,2,2.17,3.1,2.98,1.43,2.33
2026-08-27 19:04,1,1,1.98,3.25,3.25,1.51,2.13
2026-08-27 19:04,1,0,2.31,3.05,2.76,1.43,2.33
2026-08-27 19:04,1,4,3.0,3.25,2.08,1.55,2.06
2026-08-27 19:04,2,1,2.1,3.05,3.15,1.4,2.41
2026-08-27 19:04,2,0,2.19,3.1,2.96,1.42,2.35
2026-08-27 19:04,1,1,2.27,3.25,2.7,1.56,2.05
2026-08-27 19:04,1,2,2.9,3.2,2.16,1.52,2.11
2026-08-27 19:04,0,1,2.76,3.05,2.33,1.4,2.41
2026-08-27 19:04,1,3,2.44,2.87,2.76,1.29,2.81
2026-08-27 19:04,1,4,2.16,3.1,2.99,1.43,2.33
2026-08-27 19:04,0,3,2.11,3.15,3.05,1.45,2.27
2026-08-27 19:04,2,0,1.88,3.2,3.6,1.45,2.27
2026-08-27 19:04,2,1,2.5,2.99,2.59,1.37,2.51
